lad_id,lad_ons,name,rgn_code,rgn_name,updated_at,tot_shops,R00,R01,R02,R03,R04,R05,R07,R08,R09,R11,R12,R13
867,E06000046,Isle of Wight,E12000008,South East,2019-03-23,1968,4,29,70,115,268,1123,217,1,141,0,0,0
868,E06000014,York,E12000003,Yorkshire and The Humber,2019-03-22,1895,2,28,35,119,313,1230,68,0,100,0,0,0
869,E06000032,Luton,E12000006,East of England,2019-03-18,1094,19,48,55,158,207,579,12,0,16,0,0,0
870,E06000042,Milton Keynes,E12000008,South East,2019-03-23,1997,2,8,30,109,348,1338,54,0,108,0,0,0
871,E06000015,Derby City,E12000004,East Midlands,2019-03-22,1767,4,21,19,101,233,1305,0,0,84,0,0,0
872,E06000028,Bournemouth,E12000009,South West,2019-03-19,1832,3,21,55,73,212,1323,24,0,121,0,0,0
873,E06000029,Poole,E12000009,South West,2019-03-23,815,0,1,18,58,80,531,58,0,69,0,0,0
874,E06000005,Darlington,E12000001,North East,2019-03-22,908,2,10,8,22,44,746,20,0,59,0,0,0
875,E06000043,Brighton and Hove,E12000008,South East,2019-03-23,3081,1,44,39,217,591,1858,169,0,162,0,0,0
876,E06000044,Portsmouth,E12000008,South East,2019-03-22,1785,6,46,45,165,264,1126,98,0,35,0,0,0
877,E06000045,Southampton,E12000008,South East,2019-03-22,1334,0,8,6,53,170,1042,42,0,13,0,0,0
878,E06000016,Leicester City,E12000004,East Midlands,2019-03-22,2770,16,105,135,426,466,1511,85,0,26,0,0,0
879,E06000017,Rutland,E12000004,East Midlands,2019-03-13,412,0,6,0,10,59,285,26,0,26,0,0,0
880,E06000021,Stoke-On-Trent,E12000005,West Midlands,2019-03-23,1916,3,78,36,207,359,1100,0,0,149,0,0,0
881,E06000030,Swindon,E12000009,South West,2019-03-22,1500,10,36,32,113,270,876,2,0,161,0,0,0
882,E06000036,Bracknell Forest,E12000008,South East,2019-03-23,689,0,5,8,35,119,469,13,0,40,0,0,0
883,E06000037,West Berkshire,E12000008,South East,2019-03-23,1145,0,9,21,59,172,811,35,0,38,0,0,0
884,E06000038,Reading,E12000008,South East,2019-03-21,1216,2,55,33,93,199,727,0,0,107,0,0,0
885,E06000039,Slough,E12000008,South East,2019-03-20,720,2,69,49,101,127,337,0,0,35,0,0,0
886,E06000040,Windsor and Maidenhead,E12000008,South East,2019-03-12,1259,0,13,16,67,176,937,6,0,44,0,0,0
887,E06000041,Wokingham,E12000008,South East,2019-03-21,930,1,3,12,39,114,664,13,0,84,0,0,0
888,E06000031,Peterborough City,E12000006,East of England,2019-03-21,1662,1,24,38,62,232,1041,141,0,123,0,0,0
889,E06000006,Halton,E12000002,North West,2019-03-22,908,0,15,14,53,98,642,6,0,79,0,0,0
890,E06000007,Warrington,E12000002,North West,2019-03-22,1740,0,15,17,61,172,1278,50,0,155,0,0,0
891,E06000026,Plymouth City,E12000009,South West,2019-03-21,1529,5,40,11,87,222,1163,1,0,0,0,0,0
892,E06000027,Torbay,E12000009,South West,2019-03-23,1096,7,27,11,41,176,834,0,0,0,0,0,0
893,E06000033,Southend-On-Sea,E12000006,East of England,2019-03-23,1557,2,94,48,157,278,810,7,0,168,0,0,0
894,E06000034,Thurrock,E12000006,East of England,2019-03-19,978,2,17,11,74,156,616,40,0,62,0,0,0
895,E06000019,Herefordshire,E12000005,West Midlands,2019-03-23,1906,0,12,36,118,300,1077,88,0,280,0,0,0
896,E06000035,Medway,E12000008,South East,2019-03-21,1713,3,11,18,56,174,1378,20,0,53,0,0,0
897,E06000008,Blackburn,E12000002,North West,2019-03-22,1180,2,43,35,105,204,573,67,0,151,0,0,0
898,E06000009,Blackpool,E12000002,North West,2019-03-23,1731,1,38,44,156,394,1098,0,0,0,0,0,0
899,E06000018,Nottingham City,E12000004,East Midlands,2019-03-23,2664,6,64,27,129,251,1953,70,0,164,0,0,0
900,E06000020,Telford and Wrekin Council,E12000005,West Midlands,2019-03-21,1266,6,51,21,55,146,855,64,0,68,0,0,0
