lad_id,lad_ons,name,rgn_code,rgn_name,updated_at,tot_shops,R00,R01,R02,R03,R04,R05,R07,R08,R09,R11,R12,R13
289,E07000194,Lichfield,E12000005,West Midlands,2019-03-22,805,4,28,8,41,116,456,22,0,130,0,0,0
290,E07000195,Newcastle-Under-Lyme,E12000005,West Midlands,2019-03-15,959,0,11,6,46,136,690,16,0,54,0,0,0
291,E07000196,South Staffordshire,E12000005,West Midlands,2019-03-22,645,1,12,9,48,118,452,5,0,0,0,0,0
292,E07000197,Stafford,E12000005,West Midlands,2019-03-23,1156,1,22,34,118,240,742,1,0,0,0,0,0
293,E07000198,Staffordshire Moorlands,E12000005,West Midlands,2019-03-22,709,1,8,9,60,162,446,23,0,0,0,0,0
295,E07000199,Tamworth,E12000005,West Midlands,2019-03-22,491,2,17,6,8,62,341,1,0,54,0,0,0
297,E07000200,Babergh,E12000006,East of England,2019-03-19,856,0,7,3,28,85,548,40,0,145,0,0,0
298,E07000201,Forest Heath,E12000006,East of England,2019-03-23,544,0,3,2,14,63,385,6,0,71,0,0,0
299,E07000202,Ipswich,E12000006,East of England,2019-03-24,997,0,10,11,12,114,774,76,0,0,0,0,0
300,E07000203,Mid Suffolk,E12000006,East of England,2019-03-22,852,0,3,13,19,90,496,31,0,200,0,0,0
301,E07000204,St Edmundsbury,E12000006,East of England,2019-03-23,935,2,13,7,17,58,717,25,0,96,0,0,0
302,E07000205,East Suffolk,E12000006,East of England,2019-03-24,2322,2,20,28,60,237,1826,41,0,106,0,0,0
305,E07000207,Elmbridge,E12000008,South East,2019-03-14,1023,1,11,7,22,123,801,0,0,58,0,0,0
306,E07000208,Epsom and Ewell,E12000008,South East,2019-03-18,457,1,15,13,43,84,236,23,0,42,0,0,0
307,E07000209,Guildford,E12000008,South East,2019-03-24,928,2,13,6,46,146,598,0,0,115,0,0,0
308,E07000210,Mole Valley,E12000008,South East,2019-03-23,696,0,7,6,41,99,475,30,0,38,0,0,0
309,E07000211,Reigate and Banstead,E12000008,South East,2019-03-18,848,3,8,9,37,75,595,3,0,118,0,0,0
310,E07000212,Runnymede,E12000008,South East,2019-03-22,621,2,10,27,51,60,417,0,0,54,0,0,0
311,E07000213,Spelthorne,E12000008,South East,2019-03-23,722,0,28,13,37,123,428,22,0,70,0,0,0
312,E07000214,Surrey Heath,E12000008,South East,2019-03-21,573,0,17,2,21,59,425,7,0,42,0,0,0
313,E07000215,Tandridge,E12000008,South East,2018-12-13,683,0,4,7,59,121,446,19,0,27,0,0,0
314,E07000216,Waverley,E12000008,South East,2019-03-23,1042,2,24,21,76,145,731,3,0,40,0,0,0
315,E07000217,Woking,E12000008,South East,2019-03-21,746,3,13,3,16,43,591,0,0,77,0,0,0
317,E07000218,North Warwickshire,E12000005,West Midlands,2019-03-22,577,1,11,12,47,91,403,2,0,10,0,0,0
318,E07000219,Nuneaton and Bedworth,E12000005,West Midlands,2019-03-24,815,0,7,8,31,139,551,24,0,55,0,0,0
319,E07000220,Rugby,E12000005,West Midlands,2019-03-22,819,7,37,20,55,108,532,25,0,35,0,0,0
320,E07000221,Stratford-on-Avon,E12000005,West Midlands,2019-03-21,1304,0,7,12,56,164,875,46,0,144,0,0,0
321,E07000222,Warwick,E12000005,West Midlands,2019-03-22,1333,4,31,26,32,78,922,99,0,141,0,0,0
323,E07000223,Adur,E12000008,South East,2019-03-19,429,0,7,1,8,48,337,0,0,28,0,0,0
324,E07000224,Arun,E12000008,South East,2019-03-23,1070,0,7,18,50,207,742,0,0,46,0,0,0
325,E07000225,Chichester,E12000008,South East,2019-03-22,1356,2,12,25,44,163,998,54,0,58,0,0,0
326,E07000226,Crawley,E12000008,South East,2019-03-23,841,0,3,4,22,86,572,2,0,152,0,0,0
327,E07000227,Horsham,E12000008,South East,2019-03-23,1074,1,7,11,21,203,800,9,0,25,0,0,0
328,E07000228,Mid Sussex,E12000008,South East,2019-03-23,1219,0,16,9,35,79,985,15,0,80,0,0,0
329,E07000229,Worthing,E12000008,South East,2019-03-23,914,1,21,8,37,121,696,0,0,30,0,0,0
336,E06000053,Isles of Scilly,E12000009,South West,2019-03-18,98,0,0,1,1,21,72,0,0,3,0,0,0
401,E08000016,Barnsley,E12000003,Yorkshire and The Humber,2019-03-24,1777,2,29,14,75,253,1230,66,0,108,0,0,0
402,E08000025,Birmingham,E12000005,West Midlands,2019-03-23,6847,110,463,275,524,1145,3563,462,0,304,0,0,0
403,E08000001,Bolton,E12000002,North West,2019-03-24,2157,7,81,109,243,568,948,120,0,88,0,0,0
404,E08000032,Bradford,E12000003,Yorkshire and The Humber,2019-03-23,3978,6,92,124,290,616,2381,262,0,207,0,0,0
405,E08000002,Bury,E12000002,North West,2019-03-19,1172,4,29,7,78,115,815,124,0,0,0,0,0
406,E08000033,Calderdale,E12000003,Yorkshire and The Humber,2019-03-20,2072,5,43,50,161,335,983,42,0,453,0,0,0
407,E08000026,Coventry,E12000005,West Midlands,2019-03-21,2331,6,32,48,183,345,1661,0,0,56,0,0,0
408,E08000017,Doncaster,E12000003,Yorkshire and The Humber,2019-03-23,2750,11,87,79,195,455,1773,1,0,149,0,0,0
409,E08000027,Dudley,E12000005,West Midlands,2019-03-23,2220,3,92,54,245,547,1104,18,0,157,0,0,0
410,E08000037,Gateshead,E12000001,North East,2019-03-23,1534,2,15,38,86,298,976,119,0,0,0,0,0
411,E08000034,Kirklees,E12000003,Yorkshire and The Humber,2019-03-24,3645,7,100,83,326,787,2027,217,0,98,0,0,0
412,E08000011,Knowsley,E12000002,North West,2019-03-23,663,0,13,18,57,106,416,1,0,53,0,0,0
413,E08000035,Leeds,E12000003,Yorkshire and The Humber,2019-03-23,4894,4,62,86,271,1409,2997,0,0,65,0,0,0
414,E08000012,Liverpool,E12000002,North West,2019-03-23,3431,30,133,137,355,629,2033,38,0,75,0,0,0
415,E08000003,Manchester,E12000002,North West,2019-03-21,4216,7,197,118,423,719,2592,0,0,160,0,0,0
416,E08000021,Newcastle Upon Tyne,E12000001,North East,2019-03-23,2427,3,51,52,126,415,1511,208,0,59,0,0,0
417,E08000022,North Tyneside,E12000001,North East,2019-03-21,1305,1,27,32,63,246,884,0,0,52,0,0,0
418,E08000004,Oldham,E12000002,North West,2019-03-23,1685,6,33,69,130,281,1073,23,0,67,0,0,0
419,E08000005,Rochdale,E12000002,North West,2019-03-22,1602,3,30,31,141,266,833,65,0,233,0,0,0
420,E08000018,Rotherham,E12000003,Yorkshire and The Humber,2019-03-22,1946,9,109,35,101,213,1370,35,0,74,0,0,0
421,E08000013,St Helens,E12000002,North West,2019-03-23,1126,3,34,42,151,259,636,1,0,0,0,0,0
422,E08000006,Salford,E12000002,North West,2019-03-23,1876,3,73,29,146,290,1168,38,0,132,0,0,0
423,E08000028,Sandwell,E12000005,West Midlands,2019-03-23,2227,7,63,67,420,422,1108,5,0,135,0,0,0
424,E08000014,Sefton,E12000002,North West,2019-03-23,2062,1,18,29,133,215,1562,26,0,78,0,0,0
425,E08000019,Sheffield,E12000003,Yorkshire and The Humber,2019-03-23,3585,6,100,90,298,635,1998,413,0,45,0,0,0
426,E08000029,Solihull,E12000005,West Midlands,2019-03-16,1440,2,34,18,115,205,918,137,0,11,0,0,0
427,E08000023,South Tyneside,E12000001,North East,2019-03-21,1064,0,16,32,83,215,657,0,0,61,0,0,0
428,E08000007,Stockport,E12000002,North West,2019-03-24,2151,3,59,47,161,439,1161,67,0,214,0,0,0
